Date,Open,High,Low,Close,Volume,NASDAQ,Change
01-04-2014,19.205713,19.352501,19.170357,19.344643,200760000,3658.399902,
02-04-2014,19.370714,19.41,19.295,19.376785,180420800,3665.98999,0.032142
03-04-2014,19.335358,19.375,19.201429,19.2425,162344000,3637.580078,-0.134285
04-04-2014,19.278929,19.285713,18.949286,18.99357,275251200,3539.379883,-0.24893
07-04-2014,18.857857,18.960714,18.638929,18.695356,289850400,3507.75,-0.298214
08-04-2014,18.756786,18.790001,18.525,18.694286,243888400,3538.22998,-0.00107
09-04-2014,18.665714,18.946072,18.643572,18.940001,206169600,3600.439941,0.245715
10-04-2014,18.952856,19.008572,18.684643,18.695715,239652000,3487.76001,-0.244286
11-04-2014,18.535713,18.672501,18.469286,18.557501,271717600,3446.850098,-0.138214
14-04-2014,18.639286,18.648571,18.471786,18.63143,205674000,3474.629883,0.073929
15-04-2014,18.581072,18.629999,18.261786,18.498571,266490000,3487.850098,-0.132859
16-04-2014,18.501785,18.610357,18.362143,18.536072,214765600,3533.090088,0.037501
17-04-2014,18.571428,18.848572,18.542856,18.747856,284334400,3534.530029,0.211784
21-04-2014,18.762142,19.004999,18.712856,18.970358,182548800,3559.949951,0.222502
22-04-2014,18.868214,18.993929,18.803572,18.989286,202563200,3588.810059,0.018928
23-04-2014,18.895,18.968929,18.730356,18.741072,394940000,3557.040039,-0.248214
24-04-2014,20.293215,20.357143,20.026072,20.2775,759911600,3591.030029,1.536428
25-04-2014,20.161785,20.428213,20.14143,20.42643,390275200,3533.100098,0.14893
28-04-2014,20.457144,21.276787,20.448214,21.217501,669485600,3545.030029,0.791071
29-04-2014,21.205,21.285,21.053928,21.154642,337377600,3573.98999,-0.062859
30-04-2014,21.165714,21.408215,21.064285,21.074642,456640800,3582.02002,-0.08
01-05-2014,21.142857,21.242857,20.941429,21.124287,244048000,3594.360107,0.049645
02-05-2014,21.155001,21.22143,21.061071,21.16357,191514400,3587.639893,0.039283
05-05-2014,21.076429,21.464287,21.071428,21.462856,287067200,3605.090088,0.299286
06-05-2014,21.492857,21.586071,21.22893,21.22893,374564400,3556.51001,-0.233926
07-05-2014,21.258928,21.331785,20.990356,21.154642,282864400,3546.469971,-0.074288
08-05-2014,21.008928,21.22893,20.942858,20.999643,230297200,3540.419922,-0.154999
09-05-2014,20.876429,20.9375,20.72607,20.912144,291597600,3555.699951,-0.087499
12-05-2014,20.981787,21.202143,20.978571,21.172501,213208800,3612.72998,0.260357
13-05-2014,21.142857,21.23357,21.09643,21.205713,159737200,3611.129883,0.033212
14-05-2014,21.158215,21.335714,21.133572,21.209642,166404000,3593.25,0.003929
15-05-2014,21.239286,21.307142,21.001429,21.029285,230846000,3565.169922,-0.180357
16-05-2014,21.022499,21.340357,20.907143,21.339643,276256400,3587.199951,0.310358
19-05-2014,21.351786,21.690357,21.333214,21.592501,317755200,3615.620117,0.252858
20-05-2014,21.589643,21.657143,21.454643,21.596786,234836000,3600.310059,0.004285
21-05-2014,21.565357,21.667856,21.502144,21.653929,196859600,3635.610107,0.057143
22-05-2014,21.664286,21.780357,21.575001,21.688213,200760000,3650.860107,0.034284
23-05-2014,21.6875,21.954643,21.659643,21.933214,232209600,3677.330078,0.245001
27-05-2014,21.995714,22.352142,21.986786,22.343929,348866000,3723.070068,0.410715
28-05-2014,22.357857,22.493929,22.277857,22.286072,315481600,3712.26001,-0.057857
29-05-2014,22.423214,22.745358,22.420357,22.692142,376474000,3735.719971,0.40607
30-05-2014,22.785,23.006071,22.460714,22.607143,564020800,3736.820068,-0.084999
02-06-2014,22.64143,22.672501,22.232143,22.451786,369350800,3732.959961,-0.155357
03-06-2014,22.445,22.812143,22.4375,22.769285,292709200,3730.070068,0.317499
