Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
23-05-2014,60.41,61.450001,60.150002,61.349998,38294000,6,2.130002,3677.330078
27-05-2014,61.619999,63.509998,61.57,63.48,55682000,3,0.029998,3723.070068
28-05-2014,63.389999,64.139999,62.619999,63.509998,47795000,4,0.320004,3712.26001
29-05-2014,63.84,64.300003,63.509998,63.830002,42700000,5,-0.530003,3735.719971
30-05-2014,63.950001,64.169998,62.560001,63.299999,45253500,6,-0.219997,3736.820068
02-06-2014,63.23,63.59,62.049999,63.080002,35996000,2,-0.210003,3732.959961
03-06-2014,62.619999,63.419998,62.32,62.869999,32217000,3,0.470001,3730.070068
04-06-2014,62.450001,63.59,62.07,63.34,36514000,4,-0.150001,3743.590088
05-06-2014,63.66,64.360001,62.82,63.189999,47352000,5,-0.689999,3776.949951
06-06-2014,63.369999,63.48,62.150002,62.5,42442000,6,0.380001,3794.570068
09-06-2014,62.400002,63.34,61.790001,62.880001,37617000,2,2.889996,3795.73999
10-06-2014,63.529999,65.82,63.5,65.769997,69338000,3,0.010002,3800.860107
11-06-2014,65.32,65.800003,64.900002,65.779999,44242000,4,-1.489998,3797.850098
12-06-2014,65.849998,66.470001,64.059998,64.290001,55730000,5,0.209999,3763.800049
13-06-2014,64.699997,64.970001,63.830002,64.5,29419000,6,-0.309998,3775.560059
16-06-2014,64.160004,64.879997,63.75,64.190002,31046000,2,0.21,3779.929932
17-06-2014,64.099998,64.879997,63.93,64.400002,27715000,3,1.199996,3781.320068
18-06-2014,64.489998,65.75,64.050003,65.599998,35570000,4,-1.260002,3804.610107
19-06-2014,65.459999,65.580002,64.209999,64.339996,34245000,5,0.160004,3800.800049
20-06-2014,64.459999,64.809998,63.349998,64.5,46466000,6,0.870003,3802.639893
23-06-2014,64.32,65.660004,64.220001,65.370003,34560000,2,0.349998,3805.310059
24-06-2014,65.360001,67.169998,65.269997,65.720001,57335000,3,1.720001,3799.530029
25-06-2014,65.580002,67.480003,65.57,67.440002,44308000,4,-0.310005,3827.330078
26-06-2014,68,68,66.900002,67.129997,47714000,5,0.470001,3826.909912
27-06-2014,67.309998,67.699997,66.839996,67.599998,46461000,6,-0.309997,3844.439941
30-06-2014,67.459999,67.919998,67.129997,67.290001,27102800,2,0.769997,3849.47998
01-07-2014,67.580002,68.440002,67.389999,68.059998,33243000,3,-1.610001,3894.330078
02-07-2014,68.040001,68.300003,65.790001,66.449997,41895000,4,-0.159996,3899.27002
03-07-2014,66.860001,67,65.760002,66.290001,25203200,5,-1,3923.01001
07-07-2014,66.300003,66.57,65.120003,65.290001,28745000,2,-2.530003,3910.709961
08-07-2014,65.059998,65.559998,62.209999,62.759998,68926000,3,2.210003,3864.070068
09-07-2014,63.41,65.120003,63.150002,64.970001,51432000,4,-0.099998,3892.909912
10-07-2014,63.310001,65.339996,63.049999,64.870003,44422000,5,1.469993,3880.040039
11-07-2014,65.279999,66.589996,64.790001,66.339996,39212000,6,1.560006,3904.580078
14-07-2014,67.129997,68.169998,66.900002,67.900002,38537000,2,-0.730004,3929.459961
15-07-2014,67.959999,68.089996,66.260002,67.169998,44213200,3,0.490006,3914.459961
16-07-2014,67.540001,67.940002,67.07,67.660004,29541600,4,-1.25,3932.330078
17-07-2014,67.029999,67.849998,66.040001,66.410004,38188000,5,2.009994,3878.01001
18-07-2014,66.800003,68.459999,66.160004,68.419998,42456000,6,0.980004,3939.889893
21-07-2014,68.809998,69.959999,68.5,69.400002,49539000,2,-0.130005,3934.139893
22-07-2014,69.760002,69.769997,68.610001,69.269997,40398000,3,2.020004,3961.620117
23-07-2014,69.739998,71.330002,69.610001,71.290001,78435000,4,3.690002,3986.189941
24-07-2014,75.959999,76.739998,74.510002,74.980003,124168000,5,0.209999,3983.189941
25-07-2014,74.989998,75.669998,74.660004,75.190002,45917000,6,-0.270004,3965.169922
28-07-2014,75.169998,75.5,73.849998,74.919998,41725000,2,-1.209999,3967.23999
29-07-2014,74.720001,74.919998,73.419998,73.709999,41324000,3,0.970001,3959.030029
30-07-2014,74.209999,75.190002,74.129997,74.68,36853000,4,-2.029998,3976.070068
31-07-2014,74,74.169998,72.440002,72.650002,43992000,5,-0.290001,3892.5
01-08-2014,72.220001,73.220001,71.550003,72.360001,43535000,6,1.150001,3879.669922
04-08-2014,72.360001,73.879997,72.360001,73.510002,30777000,2,-0.82,3908.77002
05-08-2014,73.199997,73.589996,72.18,72.690002,34986000,3,-0.220001,3874.939941
06-08-2014,72.019997,73.720001,71.790001,72.470001,30986000,4,0.699997,3874.27002
07-08-2014,73,74,72.699997,73.169998,38141000,5,-0.11,3857.939941
08-08-2014,73.400002,73.43,72.559998,73.059998,27202000,6,0.380004,3888.090088
11-08-2014,73.459999,73.910004,73.059998,73.440002,24591000,2,-0.61,3910.459961
12-08-2014,73.089996,73.330002,72.220001,72.830002,27419000,3,0.939995,3905.22998
13-08-2014,73.120003,74.25,73.050003,73.769997,29266000,4,0.530006,3949.199951
14-08-2014,73.970001,74.379997,73.690002,74.300003,22207000,5,-0.670006,3969.110107
15-08-2014,74.32,74.650002,73,73.629997,38846600,6,0.959999,3987.51001
18-08-2014,74,74.720001,73.959999,74.589996,23974000,2,0.700005,4020.5
19-08-2014,74.809998,75.580002,74.510002,75.290001,26679000,3,-0.480003,4040.129883
20-08-2014,74.970001,75.18,74.620003,74.809998,22917000,4,-0.239998,4040.709961
21-08-2014,74.919998,75.190002,74.410004,74.57,20102000,5,0,4047.030029
22-08-2014,74.339996,74.730003,73.57,74.57,20897000,6,0.449997,4052.75
25-08-2014,74.940002,75.279999,74.790001,75.019997,19734000,2,0.940002,4067.47998
26-08-2014,75,75.989998,74.730003,75.959999,23993000,3,-1.330002,4071.669922
27-08-2014,75.269997,75.489998,74.459999,74.629997,36323000,4,-0.769996,4073.179932
28-08-2014,74,74.43,73.730003,73.860001,21947000,5,0.959999,4066.27002
29-08-2014,74.300003,74.82,74.010002,74.82,26241000,6,1.86,4082.560059
02-09-2014,75.010002,76.699997,74.82,76.68,34979000,3,-0.849998,4095.810059
03-09-2014,77.139999,77.480003,75.599998,75.830002,32389000,4,0.119995,4070.959961
04-09-2014,75.889999,76.93,75.529999,75.949997,26676000,5,1.310005,4066.129883
05-09-2014,76.099998,77.379997,75.599998,77.260002,29476000,6,0.629997,4089.919922
08-09-2014,77.260002,78.169998,77.010002,77.889999,28183000,2,-1.220001,4095.469971
09-09-2014,77.589996,78.169998,76.199997,76.669998,28882000,3,0.760002,4061.879883
10-09-2014,76.519997,77.949997,76.510002,77.43,29909000,4,0.489998,4094.969971
11-09-2014,77.129997,78.360001,77.050003,77.919998,32219000,5,-0.439995,4092.649902
12-09-2014,78.019997,78.300003,77.099998,77.480003,26676800,6,-2.900001,4069.22998
15-09-2014,77.150002,77.25,73.43,74.580002,49679000,2,1.5,4029.889893
16-09-2014,73.519997,76.230003,73.07,76.080002,37742000,3,0.349998,4067.27002
17-09-2014,75.959999,77.25,75.57,76.43,28693000,4,0.57,4073.570068
18-09-2014,76.769997,77.330002,76.519997,77,23031000,5,0.910004,4103.080078
19-09-2014,77.400002,78.300003,76.440002,77.910004,76671000,6,-1.110001,4100.089844
22-09-2014,77,77.529999,75.949997,76.800003,31961000,2,1.489998,4061.22998
23-09-2014,76.330002,78.629997,76.040001,78.290001,36814000,3,0.25,4051.570068
24-09-2014,78.099998,78.620003,77.510002,78.540001,30680000,4,-1.32,4094.310059
25-09-2014,78.599998,78.940002,77.129997,77.220001,37533000,5,1.57,4007.820068
26-09-2014,77.589996,78.839996,77.330002,78.790001,28872000,6,0.209999,4053.719971
29-09-2014,78.120003,79.199997,77.910004,79,34031000,2,0.040001,4047.179932
30-09-2014,79.349998,79.709999,78.599998,79.040001,35899000,3,-2.489998,4049.449951
01-10-2014,78.779999,78.82,75.900002,76.550003,55090000,4,0.529999,3984.73999
02-10-2014,76.57,77.480003,75.639999,77.080002,36488000,5,0.36,3985.870117
03-10-2014,77.760002,78.059998,77.260002,77.440002,23340000,6,0.119996,4027.310059
06-10-2014,77.190002,77.889999,76.849998,77.559998,25729000,2,-1.269997,4016.27002
07-10-2014,77.050003,77.949997,76.239998,76.290001,25317000,3,1.229996,3958.590088
