Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
13-05-2014,15.13,15.28,15.0375,15.232,70198000,3,0.089,3611.129883
14-05-2014,15.125,15.232,14.833,14.881,66466000,4,-0.351,3593.25
15-05-2014,14.901,14.96,14.519,14.7595,85902000,5,-0.1215,3565.169922
16-05-2014,14.64,14.944,14.5775,14.885,72736000,6,0.1255,3587.199951
19-05-2014,14.788,14.95,14.6905,14.838,45684000,2,-0.047,3615.620117
20-05-2014,14.855,15.223,14.8375,15.0595,81914000,3,0.2215,3600.310059
21-05-2014,15.1105,15.298,15.076,15.2505,68176000,4,0.191,3635.610107
22-05-2014,15.2525,15.427,15.1505,15.2455,51536000,5,-0.005,3650.860107
23-05-2014,15.273,15.6175,15.245,15.612,61058000,6,0.3665,3677.330078
27-05-2014,15.7205,15.7315,15.369,15.541,97242000,3,-0.071,3723.070068
28-05-2014,15.475,15.691,15.371,15.508,54520000,4,-0.033,3712.26001
29-05-2014,15.521,15.7435,15.51,15.689,47310000,5,0.181,3735.719971
30-05-2014,15.7215,15.7325,15.3785,15.6275,85204000,6,-0.0615,3736.820068
02-06-2014,15.6295,15.63,15.35,15.442,44068000,2,-0.1855,3732.959961
03-06-2014,15.2875,15.396,15.2535,15.3595,47584000,3,-0.0825,3730.070068
04-06-2014,15.3425,15.475,15.192,15.339,42142000,4,-0.0205,3743.590088
05-06-2014,15.405,16.396999,15.345,16.178499,155934000,5,0.839499,3776.949951
06-06-2014,16.25,16.544001,16.2465,16.4835,104880000,6,0.305001,3794.570068
09-06-2014,16.578501,16.65,16.282499,16.375,64244000,2,-0.1085,3795.73999
10-06-2014,16.3825,16.775,16.375,16.620501,73268000,3,0.245501,3800.860107
11-06-2014,16.799999,17.035999,16.694,16.76,88736000,4,0.139499,3797.850098
12-06-2014,16.7775,16.7775,16.233,16.2955,85526000,5,-0.4645,3763.800049
13-06-2014,16.352501,16.465,16.1765,16.313499,55296000,6,0.017999,3775.560059
16-06-2014,16.243,16.4345,16.176001,16.381001,48996000,2,0.067502,3779.929932
17-06-2014,16.377001,16.566999,16.261499,16.281,58482000,3,-0.100001,3781.320068
18-06-2014,16.4,16.7875,16.25,16.719,128030000,4,0.438,3804.610107
19-06-2014,16.763,16.945,16.299,16.35,106412000,5,-0.369,3800.800049
20-06-2014,16.388,16.410999,16.021,16.209999,121080000,6,-0.140001,3802.639893
23-06-2014,16.1665,16.377501,16.070499,16.362,52096000,2,0.152001,3805.310059
24-06-2014,16.377001,16.4865,16.136999,16.208,52532000,3,-0.154,3799.530029
25-06-2014,16.216499,16.407499,16.087,16.372,46556000,4,0.164,3827.330078
26-06-2014,16.4245,16.432501,16.106501,16.2845,53990000,5,-0.0875,3826.909912
27-06-2014,16.294001,16.326,16.1635,16.2285,48324000,6,-0.056,3844.439941
30-06-2014,16.249001,16.349001,16.112,16.239,53426000,2,0.0105,3849.47998
01-07-2014,16.292999,16.66,16.254999,16.619499,63472000,3,0.380499,3894.330078
02-07-2014,16.66,16.837999,16.583,16.6425,53626000,4,0.023001,3899.27002
03-07-2014,16.741501,16.915001,16.653999,16.8745,38886000,5,0.232,3923.01001
07-07-2014,16.875,16.877501,16.625999,16.6775,42578000,2,-0.197,3910.709961
08-07-2014,16.655001,16.687,16.07,16.1905,85432000,3,-0.487,3864.070068
09-07-2014,16.2355,16.51,16.157499,16.498501,63322000,4,0.308001,3892.909912
10-07-2014,16.216999,16.499001,16.1325,16.396,53300000,5,-0.102501,3880.040039
11-07-2014,16.7355,17.35,16.7355,17.309999,166016000,6,0.913999,3904.580078
14-07-2014,17.3515,17.7885,17.268,17.766001,112198000,2,0.456002,3929.459961
15-07-2014,17.686001,17.779499,17.469999,17.722,83418000,3,-0.044001,3914.459961
16-07-2014,17.781,17.966,17.65,17.795,70072000,4,0.073,3932.330078
17-07-2014,17.672001,17.848,17.569,17.622499,72720000,5,-0.172501,3878.01001
18-07-2014,17.719999,17.983999,17.604,17.933001,68148000,6,0.310502,3939.889893
21-07-2014,17.905001,18.085501,17.836,17.988001,45568000,2,0.055,3934.139893
22-07-2014,17.762501,18.1465,17.762501,18.042,57778000,3,0.053999,3961.620117
23-07-2014,17.952499,18.0315,17.830999,17.907,53746000,4,-0.135,3986.189941
24-07-2014,17.999001,18.2425,17.926001,17.9305,141774000,5,0.0235,3983.189941
25-07-2014,15.865,16.2435,15.738,16.2005,356930000,6,-1.73,3965.169922
28-07-2014,16.2125,16.240999,15.825,16.0205,118640000,2,-0.18,3967.23999
29-07-2014,16.099001,16.145,15.975,16,57676000,3,-0.0205,3959.030029
30-07-2014,16.0725,16.136499,15.925,16.1255,79380000,4,0.1255,3976.070068
31-07-2014,16.0005,16.034,15.593,15.6495,103840000,5,-0.476,3892.5
01-08-2014,15.6845,15.7915,15.2295,15.353,148830000,6,-0.2965,3879.669922
04-08-2014,15.442,15.809,15.425,15.6825,84018000,2,0.3295,3908.77002
05-08-2014,15.665,15.7275,15.503,15.616,57042000,3,-0.0665,3874.939941
06-08-2014,15.5415,15.789,15.51,15.6945,45938000,4,0.0785,3874.27002
07-08-2014,15.7605,15.794,15.4825,15.5725,58712000,5,-0.122,3857.939941
08-08-2014,15.597,15.866,15.533,15.84,54118000,6,0.2675,3888.090088
11-08-2014,15.924,16.018999,15.844,15.9165,49372000,2,0.0765,3910.459961
12-08-2014,15.9445,16.0655,15.8475,15.966,38316000,3,0.0495,3905.22998
13-08-2014,16.379999,16.586,16.306999,16.313999,98782000,4,0.347999,3949.199951
14-08-2014,16.389999,16.7045,16.335501,16.6605,68408000,5,0.346501,3969.110107
15-08-2014,16.700001,16.75,16.416,16.681499,77934000,6,0.020999,3987.51001
18-08-2014,16.774,16.889999,16.688499,16.7265,49708000,2,0.045001,4020.5
19-08-2014,16.7435,16.790501,16.650499,16.7565,34276000,3,0.03,4040.129883
20-08-2014,16.733999,16.858,16.701,16.789,36210000,4,0.0325,4040.709961
21-08-2014,16.823999,16.829,16.6115,16.6455,39422000,5,-0.1435,4047.030029
22-08-2014,16.6495,16.704,16.540001,16.5795,44224000,6,-0.066,4052.75
25-08-2014,16.6605,16.838499,16.6355,16.701,39154000,2,0.1215,4067.47998
26-08-2014,16.85,17.218,16.727501,17.091499,73094000,3,0.390499,4071.669922
27-08-2014,17.1045,17.3335,17.066999,17.159,59232000,4,0.067501,4073.179932
28-08-2014,17,17.0895,16.940001,17.000999,45054000,5,-0.158001,4066.27002
29-08-2014,17.087999,17.091,16.884001,16.952,38790000,6,-0.048999,4082.560059
02-09-2014,16.999001,17.125,16.858,17.118999,46520000,3,0.166999,4095.810059
03-09-2014,17.127001,17.1635,16.877501,16.950001,39874000,4,-0.168998,4070.959961
04-09-2014,17.1845,17.469,17.179001,17.297501,79312000,5,0.3475,4066.129883
05-09-2014,17.315001,17.341499,17.125,17.319,42140000,6,0.021499,4089.919922
