Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
27-05-2014,27.723885,28.222515,27.641609,28.220022,42083223,3,-0.212915,3723.070068
28-05-2014,28.151211,28.314262,27.9732,28.007107,33040464,4,-0.079781,3712.26001
29-05-2014,28.090378,28.122789,27.859013,27.927326,27082150,5,-0.009474,3735.719971
30-05-2014,27.963226,27.990652,27.719397,27.917852,35422988,6,-0.297185,3736.820068
02-06-2014,27.958241,27.968212,27.21179,27.620667,28700582,2,-0.448269,3732.959961
03-06-2014,27.47407,27.541386,27.053225,27.172398,37332215,3,-0.01396,3730.070068
04-06-2014,27.00087,27.355396,26.863747,27.158438,36329469,4,0.460733,3743.590088
05-06-2014,27.245197,27.671528,27.147964,27.619171,33782496,5,0.121168,3776.949951
06-06-2014,27.826603,27.826603,27.371351,27.740339,34735104,6,0.288706,3794.570068
09-06-2014,27.781227,28.06794,27.72588,28.029045,29350361,2,-0.078283,3795.73999
10-06-2014,27.948767,28.102844,27.818624,27.950762,27034019,3,-0.085266,3800.860107
11-06-2014,27.82361,27.917353,27.675018,27.865496,22002242,4,-0.373474,3797.850098
12-06-2014,27.788706,27.823112,27.347916,27.492022,29169867,5,0.020443,3763.800049
13-06-2014,27.537395,27.539391,27.203314,27.512465,24410836,6,-0.372977,3775.560059
16-06-2014,27.387808,27.405758,27.001865,27.139488,34051232,2,-0.063326,3779.929932
17-06-2014,27.135498,27.191345,26.892666,27.076162,28891103,3,0.516583,3781.320068
18-06-2014,27.168409,27.602219,27.125526,27.592745,34835379,4,0.07629,3804.610107
19-06-2014,27.636126,27.674021,27.350409,27.669035,49136535,5,0.0728,3800.800049
20-06-2014,27.766268,27.802668,27.444252,27.741835,90166875,6,0.428323,3802.639893
23-06-2014,27.681499,28.172651,27.636623,28.170158,30736155,2,-0.016454,3805.310059
24-06-2014,28.182125,28.553905,27.973698,28.153704,44142862,3,0.699579,3799.530029
25-06-2014,28.185616,28.918604,28.183622,28.853283,39387843,4,-0.132137,3827.330078
26-06-2014,28.970463,29.042763,28.514214,28.721146,34839390,5,0.06183,3826.909912
27-06-2014,28.779985,28.914116,28.611446,28.782976,44738493,6,-0.09773,3844.439941
30-06-2014,28.853783,28.899157,28.658817,28.685246,26275943,2,0.368488,3849.47998
01-07-2014,28.836828,29.139996,28.753557,29.053734,28959290,3,-0.016705,3894.330078
02-07-2014,29.087641,29.191854,28.940044,29.037029,21127848,4,0.119421,3899.27002
03-07-2014,29.087641,29.170412,28.966473,29.15645,14283107,5,-0.123661,3923.01001
07-07-2014,29.108084,29.241219,28.900154,29.032789,21292298,2,-0.556471,3910.709961
08-07-2014,28.803919,28.897062,28.229246,28.476318,38190565,3,0.248818,3864.070068
09-07-2014,28.500751,28.757048,28.390854,28.725136,22335153,4,-0.24832,3892.909912
10-07-2014,28.218027,28.750565,28.173151,28.476816,27134293,5,0.402895,3880.040039
11-07-2014,28.517206,28.962982,28.492773,28.879711,32434806,6,0.28372,3904.580078
14-07-2014,29.050243,29.180386,28.822369,29.163431,37081529,2,-0.004488,3929.459961
15-07-2014,29.206814,29.210054,28.749069,29.158943,32460877,3,-0.105709,3914.459961
16-07-2014,29.319504,29.339449,29.030296,29.053234,27942506,4,-0.445276,3932.330078
17-07-2014,28.897163,28.969963,28.352657,28.607958,60331186,5,1.064577,3878.01001
18-07-2014,29.568819,29.758299,29.020325,29.672535,80283816,6,-0.279734,3939.889893
